timestamp [s],position_lat [degrees],position_long [degrees],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm],cadence [rpm],temperature [C],fractional_cadence [rpm]
1386,55.757805006578565,12.558884639292955,3744.57,2.846,18.4,178,82,24,0.5
1393,55.757678523659706,12.55863519385457,3766.2,3.023,18.0,177,80,24,0.0
1398,55.75755329802632,12.558598397299647,3780.34,3.051,18.0,178,81,24,0.0
1406,55.75736009515822,12.558583728969097,3801.88,2.958,17.8,178,81,24,0.0
1408,55.75730888172984,12.558573335409164,3807.63,2.921,17.8,178,81,24,0.0
1409,55.757288094609976,12.558560259640217,3810.06,2.911,17.8,178,82,24,0.0
1414,55.75716110877693,12.558532515540719,3824.31,2.911,17.8,178,81,24,0.0
1419,55.75704552233219,12.558518098667264,3837.21,2.921,18.0,178,81,24,0.0
1427,55.75684016570449,12.558506112545729,3860.03,2.921,17.8,176,82,24,0.5
1429,55.756786772981286,12.558504436165094,3865.96,2.921,17.6,177,82,24,0.5
1436,55.75660681352019,12.558488342911005,3886.01,2.939,17.6,176,82,24,0.0
1439,55.75653196312487,12.558469818904996,3894.43,2.939,17.6,176,82,24,0.0
1445,55.75638620182872,12.558454480022192,3910.67,2.911,17.4,176,81,24,0.0
1447,55.75633398257196,12.5584367942065,3916.59,2.902,17.6,177,81,24,0.0
1453,55.75617916882038,12.558418354019523,3933.86,2.883,17.6,174,81,24,0.0
1457,55.756067521870136,12.55841625854373,3946.28,2.893,17.4,173,81,24,0.0
1464,55.755871469154954,12.558385580778122,3968.15,2.893,17.4,174,81,24,0.0
1466,55.75582000426948,12.558390777558088,3973.84,2.893,17.4,173,82,25,0.0
